Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
2.31254E-12,0.000000001,0.000000007,0.999302789,0,0
3.95629E-12,0.000000003,0.000000012,0.998804781,0,0
1.29718E-11,0.000000011,0.000000041,0.997709163,0,0
2.10059E-11,0.000000026,0.000000066,0.996812749,0,0
4.43474E-11,0.000000103,0.00000014,0.994521912,0,0
8.58945E-11,0.000000253,0.00000027,0.992231076,0,0
2.36171E-10,0.000001005,0.000000743,0.987250996,0,0
3.9685E-10,0.000002517,0.000001248,0.98247012,0,0
1.25476E-9,0.000010097,0.000003947,0.972111554,0,0
3.35064E-9,0.000025127,0.00001054,0.965039841,0,0
5.86276E-9,0.000050168,0.000018442,0.959561753,0,0
1.22115E-8,0.000100023,0.000038412,0.953984064,0,0
2.43102E-8,0.000251715,0.000076468,0.94561753,0,0
3.99611E-8,0.000500341,0.000125695,0.937848606,0,0
6.506E-8,0.001001917,0.000204633,0.928187251,0,0
1.29745E-7,0.002501523,0.000408046,0.912350598,0,0
2.02022E-7,0.005007246,0.000635282,0.89750996,0,0
3.39925E-7,0.01002258,0.001068706,0.878585657,0,0
8.31206E-7,0.025028298,0.002611246,0.851394422,0,0
1.5427E-6,0.050119569,0.004840981,0.830079681,0,0.025
2.72834E-6,0.100115601,0.008545594,0.806772908,0,0.025
4.39299E-6,0.200267726,0.013723655,0.778685259,0,0.025
5.72705E-6,0.300330282,0.017853832,0.758964143,0,0.025
6.81124E-6,0.400206046,0.021197687,0.74312749,0,0.025
7.69679E-6,0.500258455,0.023920451,0.72938247,0,0.025
8.34964E-6,0.600496075,0.025922901,0.716932271,0,0.025
9.09018E-6,0.700067749,0.028189339,0.705577689,0,0.025
9.52737E-6,0.750372043,0.029524878,0.700199203,0,0.025
9.92202E-6,0.800890178,0.030728897,0.69501992,0,0.05
1.05246E-5,0.90095238,0.032564292,0.685258964,0,0.05
1.12662E-5,1.000070761,0.034818516,0.676195219,0,0.05
1.19377E-5,1.101009234,0.036855099,0.66752988,0,0.05
1.26294E-5,1.200461355,0.038948521,0.659462151,0,0.05
1.31907E-5,1.30130891,0.040643779,0.651693227,0,0.05
1.37544E-5,1.401013328,0.042343432,0.644322709,0,0.05
1.44765E-5,1.501183404,0.044516341,0.637250996,0,0.05
1.60144E-5,1.750670268,0.049127462,0.621015936,0,0.075
1.74178E-5,2.000909161,0.053315865,0.606075697,0,0.075
1.85463E-5,2.250461724,0.056670552,0.592231076,0,0.075
1.95796E-5,2.500336919,0.059731718,0.579183267,0,0.075
2.06333E-5,2.751258148,0.062843192,0.566733068,0,0.075
2.18109E-5,3.002131062,0.066308186,0.55498008,0,0.1
2.27956E-5,3.251770465,0.069195872,0.543824701,0,0.1
2.39236E-5,3.502236238,0.072492778,0.533167331,0,0.1
2.5174E-5,3.750161507,0.076133632,0.52310757,0,0.1
2.60941E-5,4.001529931,0.07880369,0.513346614,0,0.1
2.71164E-5,4.251604555,0.081761238,0.503984064,0,0.1
2.81429E-5,4.500824006,0.084721504,0.49501992,0,0.1
2.93099E-5,4.750887753,0.088075383,0.486354582,0,0.1
3.03432E-5,5.001261253,0.091034712,0.477988048,0,0.1
3.11961E-5,5.250346816,0.093470042,0.469920319,0,0.1
3.20079E-5,5.500102234,0.095781948,0.462051793,0,0.1
3.2948E-5,5.750231947,0.098452097,0.45438247,0,0.1
3.39671E-5,6.00093661,0.101337571,0.446912351,0,0.1
3.51508E-5,6.253298015,0.104677409,0.439641434,0,0.1
3.64173E-5,6.503530222,0.108237058,0.432669323,0,0.1
3.75718E-5,6.751125946,0.111469805,0.425996016,0,0.1
3.87511E-5,7.003006873,0.114759888,0.419422311,0,0.1
4.03832E-5,7.252255394,0.119293027,0.41314741,0,0.125
4.18483E-5,7.5029729,0.12334255,0.407071713,0.025,0.125
4.28726E-5,7.753229919,0.126162614,0.401195219,0.025,0.125
4.41603E-5,8.001192807,0.129695042,0.395517928,0.025,0.125
4.58243E-5,8.253121055,0.134238578,0.389940239,0.025,0.175
4.68523E-5,8.503210089,0.137033707,0.384561753,0.05,0.175
4.82709E-5,8.75056487,0.140876046,0.37938247,0.075,0.175
4.94464E-5,9.000060229,0.144046899,0.374302789,0.075,0.175
5.06141E-5,9.255012671,0.147185225,0.369223108,0.075,0.175
5.19768E-5,9.500901751,0.150833071,0.364442231,0.075,0.175
5.31123E-5,9.753412435,0.153860729,0.359661355,0.075,0.175
5.463E-5,10.001549249,0.157890557,0.355079681,0.075,0.175
5.61055E-5,10.250550669,0.161790156,0.35059761,0.075,0.175
5.7312E-5,10.500166167,0.164965222,0.346215139,0.075,0.175
5.88813E-5,10.755769626,0.169077086,0.341832669,0.075,0.2
6.0299E-5,11.000523005,0.172774474,0.337749004,0.075,0.2
6.15781E-5,11.25061985,0.176096236,0.333665339,0.075,0.2
6.29323E-5,11.505713747,0.179598296,0.329581673,0.075,0.2
6.42625E-5,11.753825268,0.183023975,0.325697211,0.075,0.225
6.56644E-5,12.000554045,0.186618746,0.321912351,0.075,0.225
6.70078E-5,12.252846421,0.190048745,0.31812749,0.075,0.225
6.82544E-5,12.503089751,0.193218748,0.314442231,0.075,0.225
6.92264E-5,12.750572338,0.195681748,0.310856574,0.075,0.225
7.0401E-5,13.002037188,0.198647976,0.307270916,0.075,0.275
7.16454E-5,13.250848306,0.20177877,0.303784861,0.075,0.275
7.30624E-5,13.504500641,0.205328607,0.300298805,0.075,0.275
7.45546E-5,13.755456567,0.209050058,0.296912351,0.075,0.275
7.62191E-5,14.004293389,0.213180505,0.293625498,0.075,0.275
7.73154E-5,14.257585073,0.215889285,0.290338645,0.075,0.3
7.87195E-5,14.507602209,0.219344775,0.287151394,0.075,0.3
8.04478E-5,14.754740067,0.223577385,0.284063745,0.075,0.3
8.22664E-5,15.007309416,0.228006459,0.280976096,0.075,0.3
8.39367E-5,15.256336591,0.232052021,0.277988048,0.075,0.3
8.48272E-5,15.501155835,0.234200203,0.275099602,0.075,0.3
8.64874E-5,15.75820449,0.238188988,0.272111554,0.1,0.325
8.79862E-5,16.002338338,0.241772224,0.269322709,0.1,0.325
8.96123E-5,16.250992257,0.245640628,0.266533865,0.1,0.325
9.11316E-5,16.504121517,0.249237332,0.26374502,0.1,0.325
9.24335E-5,16.752140881,0.252305654,0.261055777,0.1,0.35
9.43575E-5,17.004456164,0.256817008,0.258366534,0.1,0.35
9.58251E-5,17.251708103,0.260240035,0.255776892,0.1,0.35
9.72107E-5,17.502733422,0.263457277,0.253187251,0.125,0.35
9.90628E-5,17.758011624,0.267735932,0.25059761,0.125,0.35
1.00284E-4,18.007094417,0.270542828,0.24810757,0.125,0.35
1.01541E-4,18.259543172,0.273421284,0.24561753,0.125,0.35
1.02823E-4,18.504876004,0.276346612,0.243227092,0.15,0.35
1.0435E-4,18.753118767,0.279813579,0.240836653,0.15,0.35
1.05789E-4,19.004886853,0.283065827,0.238446215,0.15,0.35
1.0711E-4,19.270847781,0.286039584,0.235956175,0.15,0.35
1.08572E-4,19.507980828,0.289315499,0.23376494,0.15,0.35
1.10867E-4,19.760238697,0.294427405,0.231474104,0.15,0.35
1.12628E-4,20.005940944,0.298324409,0.229282869,0.15,0.35
1.13924E-4,20.255132709,0.301179916,0.227091633,0.15,0.35
1.15797E-4,20.507595043,0.305285513,0.224900398,0.15,0.35
1.19277E-4,20.755145766,0.312849313,0.222808765,0.15,0.375
1.21928E-4,21.008896623,0.318555753,0.220717131,0.15,0.4
1.23315E-4,21.254013506,0.321521981,0.2187251,0.15,0.4
1.24741E-4,21.502144036,0.32455703,0.216733068,0.15,0.4
1.26331E-4,21.753309982,0.327928633,0.214741036,0.15,0.4
1.28253E-4,22.007599606,0.331978245,0.212749004,0.15,0.425
1.30307E-4,22.253278242,0.336281607,0.210856574,0.15,0.425
1.32161E-4,22.502903263,0.340141379,0.208964143,0.15,0.425
1.33916E-4,22.755951695,0.343773808,0.207071713,0.15,0.425
1.35448E-4,23.012197907,0.34692749,0.205179283,0.15,0.425
1.37425E-4,23.258029352,0.350977987,0.203386454,0.15,0.425
1.38432E-4,23.506495914,0.353029569,0.201593625,0.15,0.425
1.39853E-4,23.757367554,0.355915092,0.199800797,0.15,0.45
1.41581E-4,24.010720678,0.359405964,0.198007968,0.15,0.45
1.43679E-4,24.253206503,0.363619315,0.196314741,0.15,0.475
1.45162E-4,24.513304821,0.366582528,0.194521912,0.15,0.5
1.46551E-4,24.761180972,0.369342939,0.192828685,0.15,0.5
1.48312E-4,25.011816791,0.372827834,0.191135458,0.15,0.5
1.49577E-4,25.250058875,0.375317265,0.189541833,0.15,0.5
1.51154E-4,25.505969553,0.378409262,0.187848606,0.15,0.5
1.52883E-4,25.76450974,0.381781552,0.186155378,0.15,0.5
1.54509E-4,26.010235631,0.384935698,0.184561753,0.15,0.5
1.56007E-4,26.258622786,0.387826277,0.182968127,0.15,0.5
1.5743E-4,26.5097965,0.390559745,0.181374502,0.15,0.5
1.59103E-4,26.76265045,0.393759289,0.179780876,0.15,0.5
1.61326E-4,27.003300905,0.397983728,0.178286853,0.15,0.5
1.63811E-4,27.263943333,0.402671485,0.176693227,0.15,0.5
1.65612E-4,27.51050856,0.406046416,0.175199203,0.15,0.5
1.66347E-4,27.759476498,0.4074175,0.173705179,0.15,0.5
1.68249E-4,28.010654512,0.41095228,0.172211155,0.15,0.5
1.69467E-4,28.264073478,0.413204947,0.170717131,0.15,0.5
1.70642E-4,28.502295788,0.415370009,0.169322709,0.15,0.5
1.72296E-4,28.759580929,0.418403348,0.167828685,0.15,0.5
1.73693E-4,29.001782897,0.420953363,0.166434263,0.15,0.5
1.75604E-4,29.263843805,0.424424499,0.164940239,0.15,0.5
1.77399E-4,29.511181605,0.427665124,0.163545817,0.15,0.5
1.80011E-4,29.761759271,0.432348255,0.162151394,0.15,0.5
1.8177E-4,30.015172851,0.435480914,0.160756972,0.175,0.5
1.83773E-4,30.252728887,0.439025282,0.159462151,0.175,0.5
1.85379E-4,30.511150686,0.441852699,0.158067729,0.175,0.5
1.87677E-4,30.753456234,0.445872242,0.156772908,0.175,0.5
1.88961E-4,31.017121601,0.44810625,0.155378486,0.175,0.5
1.90545E-4,31.263848464,0.450848673,0.154083665,0.175,0.5
1.929E-4,31.513438664,0.45490277,0.152788845,0.175,0.55
1.95409E-4,31.766124452,0.459188469,0.151494024,0.175,0.55
1.97258E-4,32.001746174,0.462324436,0.150298805,0.2,0.55
1.99485E-4,32.259388784,0.466078222,0.149003984,0.225,0.55
2.01732E-4,32.500599433,0.469837993,0.147808765,0.225,0.55
2.03758E-4,32.764176411,0.473206765,0.146513944,0.225,0.55
2.05166E-4,33.00961955,0.475533728,0.145318725,0.225,0.55
2.06028E-4,33.256400734,0.476954066,0.144123506,0.225,0.55
2.08251E-4,33.504982969,0.480598226,0.142928287,0.225,0.55
2.10034E-4,33.756230565,0.483504752,0.141733068,0.225,0.55
2.12145E-4,34.009443095,0.48692296,0.140537849,0.25,0.55
2.14511E-4,34.265912708,0.490726614,0.139342629,0.25,0.55
2.15933E-4,34.502660434,0.492999277,0.138247012,0.25,0.55
2.17672E-4,34.762872758,0.495765789,0.137051793,0.25,0.55
2.20124E-4,35.003485082,0.499639305,0.135956175,0.25,0.55
2.21284E-4,35.268249933,0.501462244,0.134760956,0.25,0.55
2.23017E-4,35.512640431,0.504171982,0.133665339,0.25,0.55
2.24337E-4,35.758462734,0.506226998,0.132569721,0.275,0.55
2.26077E-4,36.006029241,0.508922929,0.131474104,0.275,0.55
2.29209E-4,36.256607211,0.513737087,0.130378486,0.275,0.55
2.30891E-4,36.509793255,0.516302484,0.129282869,0.275,0.55
2.32136E-4,36.764465537,0.518193794,0.128187251,0.275,0.55
2.33535E-4,37.02056868,0.5203095,0.127091633,0.275,0.575
2.347E-4,37.254696665,0.522063272,0.126095618,0.275,0.6
2.36079E-4,37.51363096,0.524131996,0.125,0.275,0.6
2.37335E-4,37.75041886,0.526008947,0.124003984,0.275,0.6
2.3799E-4,38.011919109,0.526983624,0.122908367,0.275,0.6
2.39731E-4,38.250680166,0.52956795,0.121912351,0.275,0.6
2.41774E-4,38.515786638,0.532580743,0.120816733,0.275,0.6
2.43903E-4,38.758448745,0.535700949,0.119820717,0.275,0.6
2.45656E-4,39.003220297,0.538254744,0.118824701,0.275,0.6
2.47057E-4,39.274173612,0.540285477,0.117729084,0.275,0.6
2.48491E-4,39.521848176,0.542353868,0.116733068,0.275,0.6
2.49892E-4,39.771221487,0.5443666,0.115737052,0.275,0.625
2.52015E-4,40.022167067,0.547399376,0.114741036,0.275,0.625
2.53768E-4,40.275215369,0.549887681,0.11374502,0.275,0.625
2.54716E-4,40.504059048,0.551228254,0.112848606,0.275,0.625
2.55295E-4,40.759108613,0.55204438,0.11185259,0.275,0.65
2.56659E-4,41.015258742,0.553962729,0.110856574,0.275,0.65
2.57863E-4,41.272628213,0.555648584,0.109860558,0.275,0.65
2.59599E-4,41.50549269,0.558068592,0.108964143,0.275,0.65
2.62653E-4,41.766365489,0.562294343,0.107968127,0.275,0.65
2.63916E-4,42.003368328,0.564029054,0.107071713,0.275,0.65
2.65512E-4,42.267940118,0.566212379,0.106075697,0.275,0.65
2.66692E-4,42.507349612,0.567819926,0.105179283,0.275,0.65
2.69309E-4,42.775236257,0.571362423,0.104183267,0.275,0.65
2.71367E-4,43.018737741,0.574129323,0.103286853,0.275,0.65
2.73137E-4,43.263846711,0.576492708,0.102390438,0.275,0.675
2.74142E-4,43.510203568,0.577830655,0.101494024,0.275,0.675
2.75513E-4,43.757700411,0.579646964,0.10059761,0.275,0.675
2.77173E-4,44.006627139,0.581836299,0.099701195,0.3,0.675
2.79703E-4,44.257592305,0.58515035,0.098804781,0.3,0.675
2.82494E-4,44.510364472,0.588776987,0.097908367,0.3,0.675
2.85711E-4,44.766316256,0.592917916,0.097011952,0.325,0.7
2.86509E-4,45.023781505,0.593937928,0.096115538,0.325,0.7
2.88472E-4,45.253903433,0.596437333,0.095318725,0.325,0.7
2.89947E-4,45.514427629,0.598305777,0.094422311,0.325,0.7
2.91605E-4,45.776000879,0.600395837,0.093525896,0.325,0.725
2.92675E-4,46.00979299,0.60173791,0.092729084,0.325,0.725
2.93524E-4,46.27365745,0.602799765,0.091832669,0.325,0.725
2.94319E-4,46.508701977,0.60379263,0.091035857,0.325,0.725
2.959E-4,46.774416337,0.605757878,0.090139442,0.325,0.725
2.97687E-4,47.011783288,0.607967514,0.089342629,0.325,0.725
2.98641E-4,47.250394399,0.60914195,0.088545817,0.325,0.725
3.00161E-4,47.520130179,0.611007159,0.087649402,0.325,0.725
3.02662E-4,47.761315252,0.614055475,0.08685259,0.325,0.725
3.04219E-4,48.004036065,0.615940234,0.086055777,0.325,0.725
3.06342E-4,48.278932372,0.618496958,0.085159363,0.325,0.725
3.07475E-4,48.524600563,0.619854235,0.08436255,0.35,0.725
3.09093E-4,48.771416715,0.621783702,0.083565737,0.35,0.75
3.10622E-4,49.019363768,0.623598691,0.082768924,0.35,0.75
3.11618E-4,49.268384645,0.624776132,0.081972112,0.35,0.75
3.13385E-4,49.51848338,0.626856334,0.081175299,0.35,0.75
3.13921E-4,49.769424346,0.627484148,0.080378486,0.35,0.75
3.15178E-4,50.021154116,0.628954472,0.079581673,0.35,0.75
3.17527E-4,50.274457554,0.631686218,0.078784861,0.35,0.75
3.19453E-4,50.529308952,0.633911403,0.077988048,0.35,0.75
3.21308E-4,50.753639828,0.6360413,0.077290837,0.35,0.75
3.23042E-4,51.01158214,0.638020573,0.076494024,0.35,0.75
3.25131E-4,51.271060094,0.640391312,0.075697211,0.35,0.75
3.26154E-4,51.531661006,0.641546666,0.074900398,0.35,0.75
3.27563E-4,51.760392858,0.643132446,0.074203187,0.35,0.75
3.31083E-4,52.023561737,0.647061382,0.073406375,0.35,0.75
3.32549E-4,52.255976819,0.64868589,0.072709163,0.375,0.75
3.34873E-4,52.523112301,0.651244338,0.071912351,0.375,0.775
3.36463E-4,52.758043971,0.652984459,0.071215139,0.375,0.775
3.38503E-4,53.028086432,0.655204545,0.070418327,0.375,0.775
3.41268E-4,53.266153464,0.65818995,0.069721116,0.4,0.775
3.42551E-4,53.505589545,0.659567029,0.069023904,0.4,0.775
3.44529E-4,53.780682339,0.661678342,0.068227092,0.4,0.775
3.46332E-4,54.022493173,0.663591289,0.06752988,0.4,0.775
3.492E-4,54.265722648,0.666612719,0.066832669,0.425,0.775
3.50944E-4,54.511098978,0.668436666,0.066135458,0.425,0.8
3.55144E-4,54.758108187,0.672788689,0.065438247,0.425,0.8
3.57937E-4,55.007964622,0.675651135,0.064741036,0.425,0.8
3.61882E-4,55.260085265,0.679651101,0.064043825,0.425,0.8
3.62817E-4,55.513820356,0.680591456,0.063346614,0.425,0.8
3.64277E-4,55.768441243,0.682055597,0.062649402,0.425,0.8
3.67022E-4,56.024553514,0.684789205,0.061952191,0.425,0.8
3.69239E-4,56.282281649,0.686979111,0.06125498,0.425,0.8
3.71276E-4,56.504470507,0.688978363,0.060657371,0.425,0.8
3.73815E-4,56.765627334,0.691452663,0.059960159,0.425,0.8
3.76374E-4,57.028455498,0.693926215,0.059262948,0.425,0.8
3.78808E-4,57.255066407,0.696261174,0.058665339,0.45,0.8
3.80249E-4,57.520904858,0.697634519,0.057968127,0.45,0.825
