Predictor variable,Categorical,Sample average
cld6190_ann,false,70.74193548387096
dtr6190_ann,false,128.0
ecoreg,false,10.516129032258064
frs6190_ann,false,39.225806451612904
h_dem,false,2535.8064516129034
pre6190_ann,false,32.903225806451616
pre6190_l1,false,33.0
pre6190_l10,false,39.935483870967744
pre6190_l4,false,39.806451612903224
pre6190_l7,false,21.870967741935484
tmn6190_ann,false,86.19354838709677
tmp6190_ann,false,165.7741935483871
tmx6190_ann,false,239.70967741935485
vap6190_ann,false,146.09677419354838
