Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
3.77492E-12,0.000000001,0.000000013,0.999601554,0,0
7.57693E-12,0.000000003,0.000000026,0.999302719,0,0
1.28522E-11,0.000000011,0.000000043,0.998605439,0,0
2.51202E-11,0.000000027,0.000000085,0.997808547,0,0
5.67585E-11,0.0000001,0.000000192,0.996015539,0,0
9.32738E-11,0.00000025,0.000000316,0.994023309,0,0
2.90876E-10,0.000001005,0.000000984,0.989640402,0,0
5.24294E-10,0.000002507,0.000001774,0.985855165,0,0
1.54971E-9,0.000010065,0.000005242,0.978085467,0,0
3.43287E-9,0.000025326,0.000011613,0.971909553,0,0
6.42034E-9,0.000050443,0.000021719,0.966729754,0,0
1.35915E-8,0.000100221,0.000045977,0.961350732,0,0
2.40292E-8,0.000251524,0.000081283,0.953381811,0,0
3.52859E-8,0.000501259,0.000119359,0.944914832,0,0
5.06942E-8,0.001000806,0.000171475,0.933061062,0,0
1.07829E-7,0.002510212,0.000364699,0.912740313,0,0
1.76809E-7,0.00501623,0.000597936,0.895009463,0,0
3.11674E-7,0.010024245,0.001053785,0.87379221,0,0
8.27785E-7,0.025016552,0.002796338,0.846598267,0,0
1.49849E-6,0.050000762,0.005056305,0.824882956,0,0
2.41528E-6,0.100027438,0.008137191,0.799282797,0,0
4.01594E-6,0.200354403,0.013493372,0.767407112,0,0
6.01928E-6,0.30031086,0.020156293,0.747285586,0,0.025
7.05462E-6,0.400010842,0.023582075,0.732045024,0,0.025
8.05326E-6,0.500637549,0.026875073,0.718697081,0,0.025
8.9692E-6,0.60017256,0.029885581,0.707142146,0,0.025
9.93008E-6,0.700142053,0.033033815,0.696583325,0,0.025
1.06087E-5,0.750250505,0.035251204,0.691702361,0,0.025
1.10799E-5,0.801010017,0.036787696,0.68702062,0,0.025
1.22582E-5,0.900655122,0.040619283,0.678553641,0,0.025
1.3109E-5,1.001042972,0.043376569,0.670684331,0,0.025
1.38614E-5,1.100889897,0.045808498,0.663313079,0,0.025
1.47758E-5,1.201157285,0.048755261,0.656340273,0,0.025
1.55097E-5,1.300863401,0.05111409,0.649765913,0,0.025
1.62703E-5,1.400653158,0.053552298,0.643490387,0,0.025
1.70161E-5,1.500774505,0.055937189,0.637513697,0,0.025
1.88443E-5,1.751823679,0.061757548,0.623568084,0,0.025
2.06763E-5,2.001922472,0.067554295,0.611017034,0,0.025
2.21771E-5,2.252178358,0.072276323,0.599362486,0,0.025
2.3482E-5,2.501110639,0.076362448,0.588504831,0,0.025
2.48527E-5,2.750550746,0.080635403,0.578244845,0,0.025
2.6192E-5,3.000056441,0.08479109,0.568482917,0,0.025
2.72985E-5,3.250950687,0.088210427,0.559119434,0,0.025
2.8313E-5,3.500842573,0.091334214,0.550154398,0,0.025
2.9343E-5,3.751713507,0.094494884,0.541488196,0,0.025
3.0301E-5,4.002119398,0.097424593,0.533120829,0,0.025
3.13842E-5,4.25197071,0.100725983,0.525052296,0,0.025
3.24683E-5,4.500776202,0.104017775,0.517282598,0.025,0.025
3.33234E-5,4.750638356,0.106605834,0.509712123,0.025,0.025
3.44526E-5,5.001389279,0.110011887,0.502340871,0.025,0.025
3.57268E-5,5.25347299,0.113839932,0.495168842,0.025,0.025
3.69955E-5,5.500506872,0.117634871,0.488395258,0.025,0.025
3.81025E-5,5.75239479,0.120933213,0.481721287,0.025,0.05
3.92665E-5,6.000220281,0.124387819,0.47534615,0.025,0.05
4.05046E-5,6.251298583,0.128047471,0.469070625,0.025,0.05
