Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.1017E-10,0.000000011,0.0000003,1,0,0
1.65591E-10,0.000000028,0.000000451,0.999900379,0,0
2.83908E-10,0.000000104,0.000000773,0.999601514,0,0
4.27135E-10,0.000000276,0.000001163,0.999103407,0,0
6.31523E-10,0.000001035,0.00000172,0.997708707,0,0
8.48651E-10,0.000002523,0.000002311,0.995716278,0,0
1.28801E-9,0.000010019,0.000003507,0.988842399,0,0
1.89969E-9,0.000025002,0.000005173,0.979477984,0,0
2.83275E-9,0.000050019,0.000007713,0.969017733,0,0
4.03317E-9,0.000100147,0.000010982,0.95427376,0,0
7.58411E-9,0.000250389,0.00002065,0.92727635,0,0
1.38356E-8,0.000500853,0.000037671,0.90306834,0,0
3.20405E-8,0.001001649,0.000087237,0.879059574,0,0
8.13282E-8,0.002507055,0.000221418,0.851564057,0,0
1.57002E-7,0.005009216,0.000427398,0.829846583,0,0
2.97633E-7,0.010001532,0.000810074,0.807631002,0,0
5.90345E-7,0.025046671,0.001606117,0.773062363,0,0
1.08715E-6,0.050031469,0.002955751,0.742976689,0,0
1.75289E-6,0.100008665,0.004761437,0.707312214,0,0
2.9324E-6,0.200256826,0.007952632,0.664574616,0,0
3.76078E-6,0.300289635,0.0101877,0.634688185,0,0
4.53074E-6,0.400044871,0.012260648,0.610579797,0,0
5.31014E-6,0.500417016,0.01435457,0.590157402,0,0
6.23225E-6,0.60017455,0.016826164,0.573022514,0,0
7.28082E-6,0.700596906,0.019629191,0.55817892,0,0
7.79652E-6,0.750068799,0.02100482,0.551603905,0,0.025641026
8.32412E-6,0.80000473,0.022410201,0.545427376,0,0.025641026
9.54417E-6,0.900608961,0.025652364,0.534269775,0,0.025641026
1.04777E-5,1.000789231,0.028125735,0.524307631,0,0.025641026
1.14757E-5,1.101109492,0.030763306,0.51524208,0,0.025641026
1.25357E-5,1.20108858,0.033556489,0.506973501,0,0.025641026
1.36335E-5,1.300333906,0.036440994,0.499402271,0,0.025641026
1.47725E-5,1.401224046,0.039424735,0.492329149,0,0.025641026
1.59209E-5,1.500915211,0.04242379,0.485853756,0,0.025641026
1.82397E-5,1.751092713,0.048450354,0.471209404,0,0.025641026
2.09162E-5,2.001486287,0.055359697,0.45845786,0,0.025641026
2.34594E-5,2.250431746,0.061878538,0.447300259,0,0.025641026
