Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
3.26137E-11,0.000000003,0.000000092,1,0,0
4.42047E-11,0.000000012,0.000000125,0.999800817,0,0
6.54412E-11,0.000000031,0.000000184,0.999502042,0,0
1.24829E-10,0.000000101,0.000000352,0.9988049,0,0
1.92596E-10,0.000000268,0.000000542,0.997709391,0,0
3.39031E-10,0.000001001,0.000000955,0.995020416,0,0
5.33578E-10,0.000002543,0.000001503,0.991634299,0,0
1.47641E-9,0.000010115,0.000004158,0.983666965,0,0
3.08591E-9,0.000025198,0.000008691,0.977093915,0,0
5.66271E-9,0.000050258,0.000015949,0.971218006,0,0
1.15665E-8,0.000100865,0.000032576,0.965342097,0,0
2.33045E-8,0.000250783,0.000065634,0.956777213,0,0
3.4259E-8,0.000502252,0.000096484,0.948112738,0,0
4.86617E-8,0.001003059,0.000137044,0.935962554,0,0
9.0849E-8,0.002502157,0.000255839,0.913355244,0,0
1.46162E-7,0.005009386,0.000411574,0.892042625,0,0
2.98192E-7,0.010008659,0.000839491,0.868439398,0,0
6.19197E-7,0.025016349,0.001742416,0.835474554,0,0
1.16435E-6,0.050080594,0.003273951,0.805895827,0,0
2.38198E-6,0.100098634,0.006686274,0.776117917,0,0.025
4.08751E-6,0.200376501,0.01144624,0.745443681,0,0.025
4.99861E-6,0.300128436,0.013979671,0.723633104,0,0.025
5.70679E-6,0.400084085,0.0159444,0.705109053,0,0.025
6.29312E-6,0.500342643,0.017568084,0.688477243,0,0.025
6.98805E-6,0.600341093,0.019489042,0.673538492,0,0.025
7.59539E-6,0.70017199,0.021164828,0.659894433,0,0.025
7.85308E-6,0.75031225,0.021874988,0.653420974,0,0.025
8.16579E-6,0.800802576,0.022736051,0.647146699,0,0.025
8.71888E-6,0.900572328,0.024257209,0.635394881,0,0.025
9.34305E-6,1.000873364,0.025971011,0.624340205,0,0.025
9.97318E-6,1.100139839,0.027698114,0.614082263,0,0.025
1.04936E-5,1.200538896,0.029122129,0.604322279,0,0.025
1.12262E-5,1.300526656,0.031123433,0.595159845,0,0.025
1.19292E-5,1.401081003,0.033039807,0.586495369,0.024390244,0.05
1.27229E-5,1.501088935,0.03519908,0.578428443,0.024390244,0.05
1.46389E-5,1.750687026,0.040391325,0.560302759,0.024390244,0.05
1.62576E-5,2.000328405,0.044756303,0.544268499,0.024390244,0.05
1.78177E-5,2.250163617,0.048944278,0.529628523,0.024390244,0.05
1.92793E-5,2.500577126,0.052851321,0.516183647,0.024390244,0.05
2.0341E-5,2.750519921,0.055679182,0.503635096,0.024390244,0.05
2.1679E-5,3.001100278,0.059231136,0.491783687,0.024390244,0.05
2.27027E-5,3.251512723,0.061939551,0.480529828,0.024390244,0.05
2.40327E-5,3.501272331,0.065446774,0.469873519,0.024390244,0.075
2.52292E-5,3.750103657,0.068591017,0.459814759,0.024390244,0.075
2.65016E-5,4.000779852,0.071922862,0.450154367,0.048780488,0.075
2.82749E-5,4.250523375,0.076546347,0.441091525,0.048780488,0.075
2.97546E-5,4.500330483,0.080387025,0.432526641,0.048780488,0.075
3.11024E-5,4.750088047,0.083871197,0.424360123,0.048780488,0.075
3.25494E-5,5.001478453,0.087597116,0.416492381,0.048780488,0.075
3.4298E-5,5.252029415,0.092079522,0.409023006,0.073170732,0.075
3.59297E-5,5.501518437,0.096242321,0.401951997,0.073170732,0.1
3.75823E-5,5.751704624,0.100439175,0.395179763,0.073170732,0.1
3.93228E-5,6.002014456,0.104838075,0.388706304,0.073170732,0.1
4.09186E-5,6.251376138,0.10885222,0.38253162,0.073170732,0.1
4.25071E-5,6.502029846,0.112830378,0.37655612,0.073170732,0.1
4.4673E-5,6.750802647,0.118225641,0.370879394,0.097560976,0.1
4.64886E-5,7.002707165,0.122723206,0.365401852,0.097560976,0.1
4.83857E-5,7.254248206,0.12739794,0.360123494,0.097560976,0.125
5.00516E-5,7.500484325,0.131482502,0.35514391,0.097560976,0.125
5.16758E-5,7.754856261,0.135446597,0.350164326,0.097560976,0.125
5.33685E-5,8.001587334,0.139558399,0.345483518,0.097560976,0.125
5.52128E-5,8.251394763,0.144016158,0.340902301,0.097560976,0.125
5.68897E-5,8.503761859,0.148049525,0.336420675,0.097560976,0.15
5.86633E-5,8.752037505,0.152294557,0.332138233,0.097560976,0.15
6.00103E-5,9.001585072,0.155504438,0.327955383,0.097560976,0.15
6.13404E-5,9.250622971,0.158662098,0.323872124,0.097560976,0.15
6.27265E-5,9.504827373,0.161940128,0.319788866,0.097560976,0.15
6.4191E-5,9.751789498,0.16538989,0.31590479,0.097560976,0.15
6.5616E-5,10.005094319,0.168732822,0.312020715,0.097560976,0.175
6.73854E-5,10.251438792,0.172865069,0.308335823,0.097560976,0.175
6.85619E-5,10.502988826,0.175601225,0.304650931,0.097560976,0.175
6.98052E-5,10.751836909,0.178482989,0.301065631,0.097560976,0.175
7.13116E-5,11.006080596,0.181961005,0.297480331,0.097560976,0.175
7.24178E-5,11.250417787,0.18450564,0.294094214,0.097560976,0.175
7.41516E-5,11.507091739,0.188478089,0.290608505,0.097560976,0.175
7.61385E-5,11.755132456,0.19300675,0.28732198,0.097560976,0.175
7.73449E-5,12.000963305,0.195744053,0.284135046,0.097560976,0.175
7.88203E-5,12.251164741,0.199079084,0.280948113,0.097560976,0.175
8.08312E-5,12.506461103,0.203602405,0.277761179,0.097560976,0.175
8.23358E-5,12.751000747,0.206970052,0.274773429,0.097560976,0.175
8.34075E-5,13.007641431,0.209360175,0.271686087,0.097560976,0.175
8.52158E-5,13.252043569,0.213376646,0.268797928,0.097560976,0.225
8.74029E-5,13.502363128,0.218207252,0.26590977,0.097560976,0.225
8.8964E-5,13.758569329,0.221637062,0.263021611,0.097560976,0.225
9.02435E-5,14.00071091,0.224437029,0.260332636,0.12195122,0.225
9.15552E-5,14.255425784,0.227296833,0.257544069,0.12195122,0.225
9.3309E-5,14.505126992,0.231104174,0.254855094,0.12195122,0.225
9.46278E-5,14.758448905,0.233954908,0.252166119,0.12195122,0.225
9.60834E-5,15.006076335,0.237088835,0.249576735,0.12195122,0.225
9.75759E-5,15.258491978,0.240289034,0.246987352,0.12195122,0.225
9.90048E-5,15.504057007,0.243340355,0.24449756,0.12195122,0.225
1.00482E-4,15.753404883,0.246482,0.242007768,0.12195122,0.225
1.0228E-4,16.006829078,0.250287378,0.239517976,0.12195122,0.225
1.03656E-4,16.254115419,0.253188754,0.237127776,0.12195122,0.225
1.05505E-4,16.505315461,0.257066542,0.234737576,0.12195122,0.225
1.07259E-4,16.750420036,0.260728337,0.232446967,0.12195122,0.225
1.08722E-4,17.009695214,0.263766761,0.230056767,0.12195122,0.225
1.09665E-4,17.260682699,0.265721379,0.227766159,0.12195122,0.225
1.11642E-4,17.503846133,0.269798411,0.225575142,0.12195122,0.225
1.13155E-4,17.751132703,0.272902545,0.223384125,0.12195122,0.225
1.14566E-4,18.001737141,0.275785916,0.221193108,0.12195122,0.225
1.16341E-4,18.25583586,0.279397777,0.219002091,0.12195122,0.225
1.18195E-4,18.501784838,0.283151193,0.216910666,0.12195122,0.225
1.19758E-4,18.751711969,0.286298915,0.214819241,0.12195122,0.25
1.2116E-4,19.004746668,0.289112427,0.212727816,0.12195122,0.275
1.22326E-4,19.260323239,0.291442446,0.210636391,0.12195122,0.3
1.23177E-4,19.505830199,0.293139042,0.208644557,0.12195122,0.3
1.24367E-4,19.753583675,0.2955044,0.206652724,0.12195122,0.3
1.25864E-4,20.003963634,0.298468593,0.20466089,0.12195122,0.325
1.27763E-4,20.257663998,0.302211103,0.202669057,0.12195122,0.325
1.29015E-4,20.501921704,0.304667134,0.200776815,0.12195122,0.325
1.31521E-4,20.762861009,0.309556885,0.198784982,0.12195122,0.325
1.33046E-4,21.000899049,0.312515294,0.196992331,0.12195122,0.325
1.34332E-4,21.254831879,0.315002418,0.19510009,0.12195122,0.325
1.35851E-4,21.511299742,0.317926574,0.193207848,0.12195122,0.325
1.37611E-4,21.757930493,0.321299344,0.191415198,0.12195122,0.325
1.39855E-4,22.007657937,0.325575216,0.189622548,0.12195122,0.35
1.41229E-4,22.260838975,0.328179852,0.187829897,0.12195122,0.35
1.4261E-4,22.502008818,0.33078756,0.186136839,0.12195122,0.35
1.44518E-4,22.760238198,0.334374722,0.184344189,0.12195122,0.35
1.45731E-4,23.006999301,0.336643153,0.18265113,0.12195122,0.35
1.48165E-4,23.256959129,0.34117644,0.180958072,0.12195122,0.35
1.49362E-4,23.50972347,0.34339378,0.179265013,0.12195122,0.35
1.51172E-4,23.750309064,0.346732281,0.177671547,0.12195122,0.35
1.53919E-4,24.009346038,0.351767342,0.175978488,0.12195122,0.375
1.55561E-4,24.256959062,0.354757574,0.174385021,0.12195122,0.375
1.56523E-4,24.506778058,0.356503693,0.172791555,0.12195122,0.375
1.57708E-4,24.758290294,0.358647686,0.171198088,0.12195122,0.375
1.59164E-4,25.011913071,0.361272844,0.169604621,0.12195122,0.375
1.60891E-4,25.252064667,0.364372265,0.168110746,0.12195122,0.375
1.63076E-4,25.511766993,0.368271705,0.166517279,0.12195122,0.375
1.6456E-4,25.757485624,0.37090527,0.165023404,0.12195122,0.375
1.66182E-4,26.005389835,0.373772415,0.163529529,0.12195122,0.375
1.67701E-4,26.255864038,0.376446332,0.162035654,0.12195122,0.375
1.69145E-4,26.508756853,0.378977837,0.160541779,0.12195122,0.375
1.70486E-4,26.763965933,0.381318492,0.159047904,0.12195122,0.375
1.71772E-4,27.003469828,0.383554902,0.15765362,0.12195122,0.375
1.73357E-4,27.26252009,0.386300255,0.156159745,0.12195122,0.375
1.74989E-4,27.506575129,0.389115331,0.154765462,0.12195122,0.375
1.7703E-4,27.753213719,0.392616232,0.153371178,0.12195122,0.375
1.78145E-4,28.002073516,0.394520635,0.151976895,0.12195122,0.375
1.79851E-4,28.25263297,0.397423077,0.150582611,0.12195122,0.375
1.81354E-4,28.505618359,0.399969186,0.149188328,0.12195122,0.375
1.8289E-4,28.760649676,0.402558838,0.147794044,0.12195122,0.375
1.84733E-4,29.018011473,0.405652049,0.146399761,0.12195122,0.375
1.86929E-4,29.260105885,0.409316594,0.145105069,0.12195122,0.4
1.88808E-4,29.50433355,0.4124346,0.143810377,0.12195122,0.4
1.90365E-4,29.7509473,0.415005463,0.142515686,0.12195122,0.4
1.9177E-4,30.018487013,0.417316309,0.141121402,0.12195122,0.4
1.92973E-4,30.268548474,0.419286501,0.13982671,0.12195122,0.4
1.94043E-4,30.50090595,0.421033954,0.13863161,0.12195122,0.425
1.96054E-4,30.754544871,0.424303599,0.137336919,0.12195122,0.425
1.97286E-4,31.010203876,0.426297653,0.136042227,0.12195122,0.425
1.98651E-4,31.267750771,0.428499112,0.134747535,0.12195122,0.425
2.00146E-4,31.50717268,0.430900557,0.133552435,0.12195122,0.425
2.01575E-4,31.768218406,0.433186648,0.132257743,0.12195122,0.425
2.0359E-4,32.011755451,0.43639358,0.131062643,0.12195122,0.425
2.0483E-4,32.256979147,0.438358593,0.129867543,0.12195122,0.425
2.0663E-4,32.503788539,0.441198952,0.128672443,0.12195122,0.425
2.08395E-4,32.753026099,0.443970462,0.127477343,0.12195122,0.425
2.0961E-4,33.004018038,0.445869148,0.126282243,0.12195122,0.425
2.10328E-4,33.256054732,0.44698947,0.125087143,0.12195122,0.425
2.1261E-4,33.51000953,0.450531629,0.123892043,0.12195122,0.425
2.14611E-4,33.766354599,0.453620001,0.122696943,0.12195122,0.425
2.1627E-4,34.003349707,0.456166769,0.121601434,0.12195122,0.425
2.17463E-4,34.263610395,0.457990471,0.120406334,0.12195122,0.425
2.19505E-4,34.503950133,0.461098653,0.119310826,0.12195122,0.425
2.20355E-4,34.767888532,0.462388436,0.118115726,0.12195122,0.425
2.23075E-4,35.011917605,0.466490885,0.117020217,0.12195122,0.45
2.26125E-4,35.259153767,0.471053965,0.115924709,0.12195122,0.45
2.28327E-4,35.509337966,0.474323604,0.1148292,0.12195122,0.475
2.30752E-4,35.761902,0.477902425,0.113733692,0.12195122,0.475
2.32376E-4,36.016973812,0.480284395,0.112638183,0.12195122,0.475
2.34467E-4,36.250590078,0.483336169,0.111642267,0.146341463,0.475
2.36275E-4,36.509290113,0.485961591,0.110546758,0.146341463,0.475
2.37358E-4,36.769816521,0.487526659,0.10945125,0.146341463,0.475
2.38275E-4,37.00770537,0.488848637,0.108455333,0.146341463,0.475
2.40571E-4,37.27106577,0.492142971,0.107359825,0.146341463,0.475
2.43333E-4,37.513408968,0.496078522,0.106363908,0.146341463,0.475
2.44849E-4,37.757636235,0.498225098,0.105367991,0.146341463,0.475
2.46683E-4,38.003450065,0.500809874,0.104372074,0.146341463,0.475
2.47926E-4,38.250707256,0.502555654,0.103376158,0.146341463,0.475
2.50348E-4,38.524928198,0.505936184,0.102280649,0.146341463,0.475
2.52186E-4,38.751472219,0.508487348,0.101384324,0.146341463,0.475
2.53964E-4,39.004533777,0.510942594,0.100388408,0.146341463,0.475
2.55094E-4,39.259193469,0.51249677,0.099392491,0.146341463,0.475
2.56266E-4,39.51499473,0.514103497,0.098396574,0.146341463,0.475
2.57326E-4,39.771799047,0.515552,0.097400657,0.146341463,0.5
2.59686E-4,40.004752773,0.518760635,0.096504332,0.170731707,0.5
2.61291E-4,40.265320364,0.520931314,0.095508415,0.195121951,0.5
2.63292E-4,40.501452719,0.523623531,0.09461209,0.195121951,0.5
2.65729E-4,40.76616544,0.526882882,0.093616174,0.195121951,0.5
2.67749E-4,41.00601753,0.52956652,0.092719849,0.195121951,0.525
2.69549E-4,41.274637232,0.531944881,0.091723932,0.195121951,0.525
2.70539E-4,41.517688893,0.533248093,0.090827607,0.195121951,0.525
2.72419E-4,41.761970238,0.535713383,0.089931282,0.195121951,0.525
2.74567E-4,42.008105843,0.538514451,0.089034957,0.195121951,0.55
2.76123E-4,42.256074914,0.540532287,0.088138632,0.195121951,0.55
2.78417E-4,42.505898161,0.543490625,0.087242307,0.195121951,0.55
2.80252E-4,42.757120713,0.54584436,0.086345981,0.195121951,0.55
2.81418E-4,43.009849758,0.547333076,0.085449656,0.219512195,0.55
2.82823E-4,43.263820855,0.549120674,0.084553331,0.219512195,0.55
2.84275E-4,43.519028183,0.550961357,0.083657006,0.219512195,0.55
2.85227E-4,43.775489529,0.552162979,0.082760681,0.219512195,0.575
2.86435E-4,44.004326915,0.553683802,0.081963948,0.219512195,0.575
