Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
2.23897E-10,0.000000022,0.000000557,1,0,0
2.41351E-10,0.000000047,0.0000006,0.999900379,0,0
2.94728E-10,0.0000001,0.000000733,0.999701136,0,0
3.33671E-10,0.000000258,0.000000829,0.999203028,0,0
6.37336E-10,0.000001053,0.000001584,0.997808328,0,0
1.22443E-9,0.000002569,0.000003043,0.996214385,0,0
1.90393E-9,0.000010088,0.000004732,0.991432556,0,0
2.65655E-9,0.000025213,0.000006603,0.984857541,0,0
3.62382E-9,0.000050255,0.000009007,0.976887826,0,0
5.40006E-9,0.000100185,0.000013422,0.965929468,0,0
1.07062E-8,0.000250756,0.000026611,0.94670253,0,0
1.85375E-8,0.000501769,0.000046076,0.929169157,0,0
3.50454E-8,0.001001163,0.000087106,0.910041841,0,0
7.64963E-8,0.002501547,0.000190123,0.882546324,0,0
1.37086E-7,0.0050104,0.000340687,0.858537557,0,0
2.80862E-7,0.010015806,0.000697875,0.833233712,0,0
7.48246E-7,0.025064895,0.001858131,0.80264993,0,0
1.57521E-6,0.05000198,0.003907728,0.780832835,0,0
2.70689E-6,0.100256027,0.006705722,0.75762104,0,0
4.10399E-6,0.200398387,0.010149139,0.72853158,0,0.025
5.18894E-6,0.300117279,0.012814944,0.707112971,0,0.025
6.06675E-6,0.400400479,0.014966529,0.689380355,0,0.025
7.00116E-6,0.500076956,0.017251712,0.674138275,0,0.025
7.8991E-6,0.600162834,0.019442706,0.660789002,0,0.025
8.61737E-6,0.700227857,0.021191786,0.648734808,0,0.025
8.98109E-6,0.750369582,0.022076305,0.643056386,0,0.025
9.37719E-6,0.800914812,0.023038637,0.637577207,0,0.025
1.00588E-5,0.900052258,0.02469246,0.62741582,0,0.025
1.06938E-5,1.000769689,0.026230561,0.61775254,0,0.05
1.12563E-5,1.100758684,0.027591254,0.608686989,0,0.05
1.16549E-5,1.200582231,0.028554006,0.600019924,0,0.05
1.20657E-5,1.300228097,0.029545574,0.591651723,0,0.05
1.23931E-5,1.400562573,0.03033501,0.583482765,0,0.05
1.26982E-5,1.501076808,0.031070127,0.57551305,0,0.05
1.35541E-5,1.750727039,0.033129137,0.556584977,0.025,0.05
1.45626E-5,2.000434597,0.03554993,0.538951982,0.025,0.05
1.55925E-5,2.25095125,0.038015721,0.522414824,0.025,0.05
1.65294E-5,2.500275278,0.040253238,0.506973501,0.025,0.05
1.75067E-5,2.750162968,0.04258185,0.492329149,0.025,0.05
1.8842E-5,3.001544682,0.045754432,0.478481769,0.025,0.075
2.04041E-5,3.250046151,0.049452387,0.465829847,0.025,0.1
2.18901E-5,3.501173417,0.052956912,0.453974895,0.025,0.125
2.35355E-5,3.751180751,0.056822253,0.443016537,0.025,0.125
2.54921E-5,4.001129798,0.061398081,0.43285515,0.025,0.15
2.72248E-5,4.250956135,0.065431791,0.423391114,0.025,0.15
2.87201E-5,4.500604596,0.068898891,0.414524806,0.025,0.15
3.02369E-5,4.751234909,0.0724028,0.406056983,0.025,0.175
3.20132E-5,5.000993891,0.076489332,0.398087268,0.025,0.175
3.37684E-5,5.251754366,0.080509545,0.390516039,0.025,0.175
3.58278E-5,5.501393137,0.085204166,0.383343295,0.025,0.175
3.74372E-5,5.753467689,0.088856537,0.376469416,0.025,0.175
3.91593E-5,6.002176314,0.092748367,0.369994023,0.025,0.225
4.14613E-5,6.252051692,0.097924645,0.363817494,0.05,0.225
4.39946E-5,6.500212504,0.103587111,0.35803945,0.05,0.225
4.55073E-5,6.750585653,0.106951251,0.35246065,0.05,0.225
4.76615E-5,7.002867865,0.111720215,0.347081092,0.05,0.225
4.95071E-5,7.251283855,0.11578599,0.342000398,0.05,0.225
5.22906E-5,7.500234504,0.121882425,0.337118948,0.05,0.225
5.41913E-5,7.750679832,0.126021365,0.33243674,0.05,0.225
5.64202E-5,8.000569036,0.130850012,0.327953776,0.05,0.225
5.84897E-5,8.253415048,0.135309389,0.323570432,0.05,0.25
5.98651E-5,8.501752198,0.138260401,0.319386332,0.05,0.25
6.16148E-5,8.75052749,0.142000052,0.315301853,0.05,0.25
6.33507E-5,9.000596943,0.145694241,0.311316995,0.05,0.25
6.54732E-5,9.251879812,0.150189371,0.307431759,0.05,0.25
6.68908E-5,9.503724022,0.153178554,0.303646145,0.05,0.25
6.8229E-5,9.753498638,0.155990674,0.299960151,0.05,0.25
6.9441E-5,10.001411733,0.158529451,0.29637378,0.05,0.25
7.09157E-5,10.253800933,0.161608397,0.292787408,0.05,0.25
7.2259E-5,10.504497392,0.164403054,0.289300658,0.05,0.25
7.38375E-5,10.753072459,0.167675035,0.285913529,0.05,0.25
7.52214E-5,11.006733435,0.170533173,0.2825264,0.05,0.25
7.65123E-5,11.25726542,0.173190436,0.279238892,0.05,0.25
7.77141E-5,11.503953718,0.17565666,0.276051006,0.05,0.25
7.92222E-5,11.755104697,0.178740911,0.27286312,0.05,0.25
8.06251E-5,12.003043695,0.18159981,0.269774856,0.05,0.25
8.22808E-5,12.255565316,0.184960983,0.266686591,0.05,0.275
8.3898E-5,12.504940974,0.188230554,0.263697948,0.05,0.275
8.5322E-5,12.750290361,0.191098809,0.260808926,0.05,0.275
8.65593E-5,13.007838875,0.193582743,0.257820283,0.05,0.275
8.81849E-5,13.252496515,0.196834648,0.255030883,0.05,0.275
8.91593E-5,13.500652039,0.198777603,0.252241482,0.05,0.275
9.1591E-5,13.753540269,0.203605689,0.249452082,0.05,0.275
9.30113E-5,14.00285205,0.206412334,0.246762303,0.05,0.275
9.47674E-5,14.256402853,0.209868753,0.244072524,0.05,0.275
9.64947E-5,14.504857524,0.213253877,0.241482367,0.05,0.275
9.84924E-5,14.758733648,0.217150845,0.23889221,0.05,0.275
1.00721E-4,15.007690103,0.221474494,0.236401674,0.05,0.275
1.02882E-4,15.252052991,0.22564609,0.234010759,0.05,0.275
1.04056E-4,15.500743008,0.227901603,0.231619845,0.05,0.275
1.05543E-4,15.752132981,0.230750743,0.22922893,0.05,0.275
1.07428E-4,16.007914131,0.23434626,0.226838016,0.05,0.275
1.09691E-4,16.258002209,0.238642022,0.224546722,0.05,0.275
1.11526E-4,16.501154835,0.242106924,0.222355051,0.05,0.3
1.13751E-4,16.759620861,0.246286246,0.220063758,0.05,0.3
1.15548E-4,17.000958894,0.249645547,0.217971708,0.05,0.3
1.18101E-4,17.257242467,0.254391395,0.215780036,0.05,0.3
1.20288E-4,17.507327616,0.258434518,0.213687986,0.05,0.3
1.216E-4,17.761758936,0.260848762,0.211595935,0.05,0.3
1.24535E-4,18.007901431,0.266220912,0.209603507,0.05,0.3
1.26241E-4,18.25878702,0.269325574,0.207611078,0.075,0.3
1.27959E-4,18.500303705,0.272439693,0.205718271,0.075,0.3
